Blues         classical         country         disco         hiphop         jazz         metal         pop         reggae         rock
../../../data/testData\classical.00000.mp3.txt   -0,0135558769709208           1,01247951431022           -0,0333527815692563           0,0101048171052849           -0,0097884752967036           0,0303303718882689           -0,00189851788333493           0,00643619575364179           0,0101179952975505           -0,0108792034490882
../../../data/testData\classical.00001.mp3.txt   0,0822851880966631           1,00594448645191           -0,289212713020195           0,0788118947349253           0,0331500929432134           0,180647712201837           0,00978220837194159           -0,077224198754703           0,0280911732047741           -0,0522821116860889
../../../data/testData\classical.00002.mp3.txt   -0,0105379890352123           1,01130171616312           -0,0473851822798765           0,0123877201020398           -0,0117595773115287           0,0385539602623217           -0,00251268646675893           0,00850547252966577           0,0106212757850419           -0,0091806899460548
../../../data/testData\classical.00003.mp3.txt   -0,024066446168785           1,01278684251848           0,0339043342757499           -0,00550476964152247           0,00506372526481751           -0,0102335612783263           -0,00128416629202449           -0,000946937009015603           0,0021601887260829           -0,0118850161491631
../../../data/testData\classical.00004.mp3.txt   -0,0161445303731492           1,01299272717972           -0,107829487468791           0,0220464743027994           0,0335636663355575           0,0617591409562744           -0,0137806434304673           0,0506795236765514           0,0235498947003355           -0,0668422034842707
../../../data/testData\classical.00005.mp3.txt   -0,0203784886133412           1,01269052860438           0,0184577135777386           -0,00147774996210792           -0,00323166755688938           0,00111228984579754           -0,00046075638423887           -0,00211202168807234           0,00319866802027254           -0,00780441361164129
../../../data/testData\classical.00006.mp3.txt   -0,0203697599397052           1,01269142848882           0,0187596329852645           -0,00147002592245887           -0,00329974953576585           0,000484543638578855           -0,000435608067638794           -0,00224018215540123           0,00336353389685618           -0,007489712237274
../../../data/testData\classical.00007.mp3.txt   -0,119940196730626           1,02517159547862           -0,145866600826738           -0,0911635309550494           -0,0427682238897961           0,45645271701957           0,000490896061921653           -0,0162740778259693           -0,0374286322695141           -0,0286788803023123
../../../data/testData\classical.00008.mp3.txt   -0,0203534640331371           1,01268950666694           0,0190234791013979           -0,0014355150382403           -0,00322350039756357           0,000525855156626641           -0,000434098974215622           -0,00215784845855171           0,00327649730279258           -0,00791680972218504
../../../data/testData\classical.00009.mp3.txt   -0,0163437684064418           0,98327793744221           0,0329336982569284           -0,000425583205298175           -0,00157856562127441           0,00414188681721332           -0,000719262975069909           -0,00020508371387884           0,00406821528860854           -0,00515521286053396
../../../data/testData\country.00000.mp3.txt   -0,137790215205713           -0,00251263838674287           0,411271384055708           -0,368056495651482           -0,860388819105839           -0,0231145893621068           0,0789456820259914           1,08508640116308           0,805748813199971           0,0108048262721793
../../../data/testData\country.00001.mp3.txt   0,0746459633281873           -0,0069206896936006           0,267736538819047           0,529353972662988           0,0230609053216958           0,266862840250258           0,0351969237410245           0,344453528993775           -0,105455592953996           -0,428935986149531
../../../data/testData\country.00002.mp3.txt   0,0206633691546692           -0,0167687479475611           0,254587267176606           -0,0451720323003502           -0,152838961418471           0,36403891496614           -0,0549145402752975           0,0550648000757651           0,603627668338144           -0,0282862047645202
../../../data/testData\country.00003.mp3.txt   0,0762378599612923           -0,00683233815794515           0,448857092848556           -0,123608878322018           -0,0478341396807257           0,548179932028352           0,00291960209712067           0,0582473067509891           0,157699285245299           -0,113864193329433
../../../data/testData\country.00004.mp3.txt   0,0381300873655674           -0,000758769238548673           0,480806975705765           -0,153831079306532           -0,130193094068968           0,119518196089977           0,0667570379750517           0,180469098095119           0,412442981352872           -0,0133389297481841
../../../data/testData\country.00005.mp3.txt   0,121852054232267           -0,00873102509909518           0,307862748003063           0,922429991200171           0,22825311811957           0,20636676999011           0,019663719035608           0,0420536117356388           -0,106529642435838           -0,73321926025374
../../../data/testData\country.00006.mp3.txt   0,0475100570791462           -0,00241404521578981           0,0787280318578026           -0,040605827770556           0,121167634676208           0,177828995364932           0,0136803945044044           0,282213834454766           -0,18509338768592           0,506983082719668
../../../data/testData\country.00007.mp3.txt   -0,454763846268087           -0,0078044638890401           0,0882849122951693           -0,0735198750931026           -0,446617670991092           0,722954209628598           0,0784476944292836           1,02434038894104           -0,0650787088222162           0,133749153663041
../../../data/testData\country.00008.mp3.txt   -0,25507231009994           -0,00547942446593375           0,339976597604923           -0,172633319545741           -0,471714116096987           0,452411151642298           0,0570298920989108           1,05401993028758           -0,0675584484309345           0,06901265606929
../../../data/testData\country.00009.mp3.txt   0,0489999888638811           -0,00210628728221918           0,212225780782022           0,0864426183507153           0,117910871866284           0,0690643441464724           0,0240041353303467           0,104306711001315           -0,0592109151508973           0,398363661154724
../../../data/testData\disco.00000.mp3.txt   0,0683078037732876           -0,00119527877438319           0,138860776070816           -0,0678810893189205           -0,0075973820519105           0,135885319104394           -0,0110000732010489           0,112744629074337           0,532060831023182           0,0998171130872518
../../../data/testData\disco.00001.mp3.txt   0,0995946652427645           -0,0012801602111574           0,013567003664543           0,443048605303748           0,670619598447253           0,0347098378924654           -0,681033911015086           0,022336804348408           0,0707337199938559           0,327704056880744
../../../data/testData\disco.00002.mp3.txt   0,0519183111607179           -0,000478800312816885           -0,0893658307541117           0,692046487215323           -0,429034566264915           0,0192759743896177           0,060565068800629           0,914559497795134           -0,0558007165162566           -0,163692625478359
../../../data/testData\disco.00003.mp3.txt   -0,0048511190164809           0,000549401933387372           0,0901551782959839           0,298379457927336           0,243500090334766           -0,0540703205617471           0,341449472017056           0,0640214991790536           -0,0187800900612657           0,0396466601182553
../../../data/testData\disco.00004.mp3.txt   0,0491214184662048           -0,000648367507054881           -0,0409080172940408           0,748105417355388           -0,341444236223844           0,00198042687924694           0,0480770085426354           0,760176675927482           -0,0559693463304287           -0,168496884797424
../../../data/testData\disco.00005.mp3.txt   0,00356936683736203           4,62560303584603E-05           0,224545606778074           0,564962948750021           0,108059741893029           -0,147648176789256           -0,00831430668229893           0,0419731331176615           -0,0143023480462396           0,227109201910637
../../../data/testData\disco.00006.mp3.txt   0,0363174427967754           -0,00134269878557747           0,015344898445468           0,174569422565824           0,0028475617373126           0,0174897687531544           0,524271502279569           0,0179562685903695           0,00552644013249602           0,207019615011802
../../../data/testData\disco.00007.mp3.txt   0,00774042401484113           -0,00385400098536792           -0,140397283679515           0,304174457815586           0,501809590460756           0,187201238806028           -0,0673996300913061           0,0895932089334271           0,104163079765291           0,0169680598923436
../../../data/testData\disco.00008.mp3.txt   -0,00939187039694734           -0,00150528432202224           0,211844480144328           0,841808854233363           0,108544517518839           -0,0977217161579694           -0,04122832112944           0,0111644708940882           -0,0262351304483867           0,00272163760018911
../../../data/testData\disco.00009.mp3.txt   -0,100984625727515           0,00251569256006889           0,369730458230058           0,518149294853646           -0,0864894297021478           -0,107821287986205           0,0286559515626549           -0,0658482680099939           0,12190029310885           0,320191042816613
../../../data/testData\hiphop.00000.mp3.txt   -0,0077804974717663           0,0639580927873324           0,1006695036658           0,715443831614417           0,157525256378858           0,0129818257462595           -0,0974212713520905           -0,0444589221778973           0,0114450465380332           0,0876375650051587
../../../data/testData\hiphop.00001.mp3.txt   -0,05006764786652           0,000495021050558209           0,338647533814095           0,0304795751226873           0,699981563245765           -0,173881687622431           -0,0228856278684373           0,0871874400096371           0,0249395106247778           0,0651039173182912
../../../data/testData\hiphop.00002.mp3.txt   0,112081995606038           -0,00311031110170401           0,343697844348965           -0,430376644752225           0,579394610046461           0,0613157275154651           0,0403818951234221           0,221356264299845           0,460699145496896           -0,385439614984245
../../../data/testData\hiphop.00003.mp3.txt   0,0519470888895769           -0,000302709815759084           -0,0740454986902816           0,132704347699139           0,709854711330428           0,0801439990099388           0,000459987048790973           0,0212924455064595           0,0425584852665194           0,0353859010289507
../../../data/testData\hiphop.00004.mp3.txt   0,296209277770043           -0,00725892487111424           0,156238305455252           0,184299021083932           1,99858632954           0,227432906011212           -0,0493357795917833           0,0755187911707743           -2,19814279896777           0,316449260185792
../../../data/testData\hiphop.00005.mp3.txt   -0,041125411135525           -0,000873554350887873           0,143876310397994           0,0768225305684174           0,642893880547292           -0,0433202130676157           0,0303262616616799           0,0862715919789913           0,00824741307892378           0,0968804847269192
../../../data/testData\hiphop.00006.mp3.txt   0,032859976496086           -3,36188805075688E-05           -0,000210291399754784           0,122178878356025           0,739391398742629           0,0303964974294091           -0,00200829158442695           0,0156541643012673           0,0322225670018063           0,0295477887796397
../../../data/testData\hiphop.00007.mp3.txt   0,0295365474034931           -0,000154291437779341           0,0440485565530746           0,11703886174705           0,743420410086047           0,0159474603329097           -0,00138939192080386           0,0191494188070224           0,029544004437046           0,00285756660164051
../../../data/testData\hiphop.00008.mp3.txt   -0,0206906352502565           -0,00247811954171706           0,319734376942725           0,0671866032843789           0,739908310006223           -0,107793218773334           0,0364344671663535           -0,0954483555375422           0,0299233792165182           0,0332228009198221
../../../data/testData\hiphop.00009.mp3.txt   0,0321082229395282           -2,00112568704558E-05           0,00354003120999397           0,121130330224767           0,739826285233364           0,0279662590101298           -0,00197591495563285           0,0153257689547714           0,0324278941084162           0,0296702136671047
../../../data/testData\jazz.00000.mp3.txt   -0,574682691402838           0,980287761637836           0,00127081093142136           0,112452440018806           0,0389175260187071           0,119966315841748           0,0189843542520777           0,0482786934846483           -0,00069835467360388           0,255217725671532
../../../data/testData\jazz.00001.mp3.txt   -0,0311052748250091           0,943692246571396           0,0492660516802256           0,0101620776498584           0,0035290689128588           -0,00625965318821335           0,000407070722797671           0,00695873104940387           0,00504780828272686           0,0182963918438115
../../../data/testData\jazz.00002.mp3.txt   -0,107179454130771           -0,00455207198879626           0,330711352019583           -0,0548275358117511           0,0164007963771458           0,704754685033285           -0,00822045841424426           0,0508787656354239           -0,0127813181167225           0,0848158699750664
../../../data/testData\jazz.00003.mp3.txt   0,14696340012711           1,00670394850722           0,0917270750875897           0,513833156231332           0,515441701652914           0,0115507325652838           -0,0233425694750346           0,0618323826873238           -0,957968974218064           -0,36674737336008
../../../data/testData\jazz.00004.mp3.txt   -0,0318973658621382           -0,00601967277888082           -0,00842423029665203           0,0200439169928995           0,0375050916317168           0,966471413291873           0,00364988987646389           -0,026903096579079           0,00918244896490723           0,0363918445679664
../../../data/testData\jazz.00005.mp3.txt   0,920845435282663           0,00320948375181807           0,169718216899075           0,0232281964937381           0,139375847033386           -0,124548269870651           -0,0437140452134303           0,0595402968536702           -0,00899819748829449           -0,138655786991981
../../../data/testData\jazz.00006.mp3.txt   -0,0633747378971278           -0,00418247287152251           0,269362830574155           0,00929407807766863           0,0237131548325096           0,805604111024381           0,0156339409788671           -0,0525284029480572           0,00904910961908962           -0,0125717485184825
../../../data/testData\jazz.00007.mp3.txt   0,0234913217192885           -0,00559836345830533           -0,0307942601024543           0,0183534328778782           0,037287403483139           0,937727378907537           0,00214597561492036           -0,0247519917627802           0,00957557712121           0,0325638272880425
../../../data/testData\jazz.00008.mp3.txt   0,127486844856249           0,0015956477058402           -0,157943008033493           -0,0983007313498094           -0,118237774857816           0,494559351557139           -0,00503073528159444           -0,191689748947649           0,161923974968493           0,785635041461811
../../../data/testData\jazz.00009.mp3.txt   0,134748078478551           0,404588024659592           -0,0630382807825976           0,0935361613474069           0,0522294447110999           0,36511172399977           0,00448472673723583           -0,0378173366182774           0,0405324810065883           0,00562202552546813
../../../data/testData\metal.00000.mp3.txt   0,00461141277711758           -0,000483307267305833           0,00303284529980835           -0,00104741362295269           -0,00342066506656809           0,0114826474263505           0,973160232392603           0,00771616668230329           -0,0103860727355732           0,0153337924915274
../../../data/testData\metal.00001.mp3.txt   0,00565272356259374           -0,000539555748041209           0,00358312400600045           0,00479999541894804           -0,00480326852572793           0,0106785944383129           0,979727655806048           0,00767334077602405           -0,0102783828093519           0,0035054102816653
../../../data/testData\metal.00002.mp3.txt   0,0337865771630364           -0,00113386661241621           0,0124631084610124           0,147363659797644           0,00214217000868848           0,0168295777652841           0,575936683313038           0,0182564935290891           0,0039107997434506           0,190444947477134
../../../data/testData\metal.00003.mp3.txt   0,00531550058923478           -0,000531492433704872           0,00377728707038995           0,000957054298549531           -0,00274520384427261           0,0103705838885439           0,983228701181919           0,00789082922741263           -0,0102481182361534           0,00198448302969935
../../../data/testData\metal.00004.mp3.txt   0,00586550353095858           -0,000528827439035595           0,00316876902022561           -0,00448325776635211           0,0050909189777494           0,0114150609059272           0,971376772077381           0,00898610782674919           -0,00921405942195292           0,00832262098174789
../../../data/testData\metal.00005.mp3.txt   0,00717743430959135           -0,000571275807020433           0,00340585133081888           0,011976680639246           -0,00404547638306318           0,0115161779718572           0,958622064234675           0,00842841659657712           -0,00933284555184777           0,0128226327747027
../../../data/testData\metal.00006.mp3.txt   -0,0202437882569337           0,00113317835242388           -0,0128532994015657           -0,151060370723314           0,0481431586730189           0,0385340446494009           0,586563132750186           0,0132758325224774           -0,0051857992041429           0,501693778792653
../../../data/testData\metal.00007.mp3.txt   0,00515670869301879           -0,000526926632821834           0,00353449780521869           0,00242269733731487           -0,00474542408664379           0,010622854867663           0,986239967241259           0,00752004393406414           -0,0104833257040235           0,000258535024423925
../../../data/testData\metal.00008.mp3.txt   -0,00146686122484536           0,00115345156995661           -0,0138302033839338           -0,0699239249702678           0,0677865952424673           0,0554678117230022           0,0499082879418854           0,0256538563558264           0,0168307399010003           0,868420707461115
../../../data/testData\metal.00009.mp3.txt   -0,0182250604715222           -0,00362610983124434           -0,000658025022214818           -0,101201633756083           0,700865180169896           0,0474430619151533           -0,000676534731461526           0,0665057938142239           -0,0159456584001209           0,325518961638928
../../../data/testData\pop.00000.mp3.txt   -0,00754583783792868           0,00125351768004744           0,0117286883690691           -0,0977899035671898           0,168815654482673           -0,0267664749913245           0,056821222875349           1,00615726161595           -0,0145439632824879           -0,0981397578782413
../../../data/testData\pop.00001.mp3.txt   0,0130143940195744           0,000592318272481074           -0,00526384032143157           0,0704291723538635           0,337728700924072           0,00274543419066787           0,0585230862421019           0,57582784722989           0,0105950227935034           -0,0641978350475033
../../../data/testData\pop.00002.mp3.txt   -0,00138191836733479           0,00106031271779661           0,00905667161891498           -0,0650731012873449           0,253422832542012           -0,0175977045074109           0,0480761415813693           0,859133348518529           -0,0074868559399666           -0,0792180344842726
../../../data/testData\pop.00003.mp3.txt   -0,0521758797480456           -0,00089800283779673           -0,279497269091667           -0,13568885994157           -0,444907987031781           -0,220692579955427           -0,0250926485011002           0,00599556963460013           0,995229275784468           1,15772855088428
../../../data/testData\pop.00004.mp3.txt   0,0345174448155278           0,000397803038949318           0,257604995004678           0,0754281920242445           0,278223571963881           -0,112315661923386           0,00277109827651549           0,172563516816411           -0,182393382198723           0,473203373875329
../../../data/testData\pop.00005.mp3.txt   0,675271563261955           -0,00541722329395022           1,17992962001536           -0,250339255599477           0,400562250577916           0,395494312894766           0,155649718977676           0,358170656833008           -0,100815154274659           -1,80849532592791
../../../data/testData\pop.00006.mp3.txt   0,113768453934975           0,00729893277293681           -0,122308958972372           0,106718674102623           0,410177266044835           0,132577388079937           -0,0277890130694033           0,0686729571508682           -0,410393111846349           0,721278381151888
../../../data/testData\pop.00007.mp3.txt   0,136667383158757           -0,00269617790464605           0,252437421720879           -0,0420862332459752           0,19133092135096           0,544503864874512           -0,0199336097918592           0,0279531675744382           0,00156157630478415           -0,0897364313896409
../../../data/testData\pop.00008.mp3.txt   -0,0668412221296515           0,00140906829093124           0,361266927379484           -0,343431491534158           -0,433833441405244           -0,118334721017145           0,0141606035624729           0,924704587766605           0,430881298385881           0,230015035520634
../../../data/testData\pop.00009.mp3.txt   -0,0698400650355445           0,000390179218711539           0,543882709124964           0,783987177722573           0,062894199378539           -0,268780039734989           0,194159311927637           -0,0253746846620754           0,00868683978565197           -0,230004699341334
../../../data/testData\reggae.00000.mp3.txt   0,042040146958812           -0,0037970481876648           0,139260771295716           -0,204403178703316           -0,257919177215944           0,432081585227819           -0,05724918879411           0,079534488629098           0,600683976757021           0,229767560491854
../../../data/testData\reggae.00001.mp3.txt   0,52485641897386           0,00522715041466781           0,540500878182931           0,0507371048191854           -0,0121882440908994           -0,244312803360537           0,0291935435400302           -0,0716799767502029           0,057152780000841           0,120512537413394
../../../data/testData\reggae.00002.mp3.txt   -0,00976227803817914           0,000974650680178324           0,0158016126551558           0,329643075019913           0,104675758608784           0,0200713539981374           -0,338649329711786           -0,0274922768912332           0,856990805799141           0,0477476726984174
../../../data/testData\reggae.00003.mp3.txt   0,889132570266202           0,000887094718528325           -0,0586379633583491           -0,00798693827545857           -0,268357285715957           -0,0317389044924888           -0,00835424622144136           -0,0906643169750626           0,84697502867443           -0,271250910278159
../../../data/testData\reggae.00004.mp3.txt   0,133058026504246           -0,00373990001005631           0,0730248877754548           0,853947819795453           0,301891694033596           0,110074763805158           -0,00084340880269387           -0,0530220653762472           -0,299377990393516           -0,115012662251968
../../../data/testData\reggae.00005.mp3.txt   0,0505732259404759           -0,000674737922818913           0,104976095049782           0,105201855070039           -0,155250969433823           0,0411642554008521           -0,00689680151676379           0,0947444372043994           0,728116040628852           0,0380491223898281
../../../data/testData\reggae.00006.mp3.txt   0,101734888975307           0,00363703404693994           0,062580524276676           0,123280800054735           0,0573396940242564           0,1424940897927           0,041859717676644           0,055142998101028           0,012199744778913           0,399730711719591
../../../data/testData\reggae.00007.mp3.txt   0,195750579192081           0,00124431309474149           0,0658463722843016           0,31153058928533           -0,0511909286433058           0,152543925694364           -0,0728394980539037           0,0456590342268779           0,749564254539727           -0,398103408779093
../../../data/testData\reggae.00008.mp3.txt   -0,0547616096711019           0,00198886288863898           -0,0150433314499242           -0,0352809093663116           -0,28925831976469           -0,0459378657802058           0,236786549608438           -0,0317686040806664           0,941119319115012           0,292158841640494
../../../data/testData\reggae.00009.mp3.txt   -0,0316496725770262           -0,000790404119855204           0,303976559591181           -0,218427330743885           -0,0765186790773671           -0,0958797889286734           0,413537424670797           0,076547220690446           0,858094423219948           -0,22888768226719
../../../data/testData\rock.00000.mp3.txt   -0,240239533177623           0,00187300842060734           0,21729126627387           0,0385012613691594           -0,109955070167045           0,130663610853961           0,0082349895957667           0,0932875743152559           0,12241142258277           0,737929634429681
../../../data/testData\rock.00001.mp3.txt   -0,119602534810277           -0,000656529993009136           0,615178318062851           -0,21686088213683           -0,335252207554871           -0,0418270821314656           0,328674835012886           -0,0322074206233574           0,910957081386887           -0,108402478147347
../../../data/testData\rock.00002.mp3.txt   0,154545445297052           -0,00383175651915502           0,475581216029406           -0,0693183684998991           0,206802209944303           0,0978127845637271           0,0186867772013968           0,188854819405863           -0,137682922965547           0,0685509188992861
../../../data/testData\rock.00003.mp3.txt   -0,242930469434011           0,00172138293116253           -0,407735089124399           0,107057448315016           -0,157301241108175           -0,345126052072474           0,186724201117511           -0,112157247864505           0,191060217779879           1,7786791586242
../../../data/testData\rock.00004.mp3.txt   0,365558469085347           -0,00109422746439436           -0,259396868228837           -0,59846173259851           -0,28604067819182           -0,282885680077752           0,549899915604145           -0,0634836612837095           0,604126137133306           0,971771437245139
../../../data/testData\rock.00005.mp3.txt   -0,519780852890235           -0,000182234570522799           0,059393172459195           0,0625080476954797           -0,0551151049065804           0,0838538687043446           0,194546251281882           0,0443761123492359           0,106451594230199           1,02394679550424
../../../data/testData\rock.00006.mp3.txt   -0,0991274258260754           -0,00508067418116187           0,321517425465709           -0,0661029709685773           0,00884751277607275           0,743651935042713           -0,00687756071653057           0,0430379027882514           -0,0150808401287872           0,075215414583049
../../../data/testData\rock.00007.mp3.txt   0,660815232594235           0,00415115489758788           1,05181462068007           -0,0973978179139861           -0,0433768470414176           -0,454653018815821           0,0101258283834806           -0,00679634062455992           -0,00578451905966738           -0,118898656766077
../../../data/testData\rock.00008.mp3.txt   -0,160160213469415           -0,00518906043566825           0,181386287528214           0,0636846097880275           0,12299264543583           -0,118926715327497           -0,0451890265051676           0,0887501608686942           -0,0202575364666218           0,892907337017468
../../../data/testData\rock.00009.mp3.txt   0,259712407164491           -0,00194429571643506           0,309992757009836           0,0102435563518926           0,0188914649000589           0,469239148263323           0,0133223039833164           -0,0489081588773794           0,0156968344492518           -0,0462461567694832
